#input_word,learning_rate,#learned_word
20000,1.0,8
35000,1.0,16
50000,1.0,22
65000,1.0,31
80000,1.0,28
95000,1.0,32
110000,1.0,40
125000,1.0,43
140000,1.0,67
155000,1.0,81
170000,1.0,72
185000,1.0,77
200000,1.0,86
215000,1.0,81
230000,1.0,104
245000,1.0,108
260000,1.0,114
275000,1.0,105
290000,1.0,125
305000,1.0,131
320000,1.0,132
335000,1.0,148
350000,1.0,147
365000,1.0,130
380000,1.0,154
395000,1.0,196
410000,1.0,176
425000,1.0,181
440000,1.0,170
455000,1.0,204
470000,1.0,183
485000,1.0,179
500000,1.0,235
515000,1.0,223
530000,1.0,218
545000,1.0,206
560000,1.0,207
575000,1.0,235
590000,1.0,248
605000,1.0,247
620000,1.0,271
635000,1.0,283
650000,1.0,258
665000,1.0,270
680000,1.0,293
695000,1.0,269
710000,1.0,269
725000,1.0,276
740000,1.0,287
755000,1.0,330
770000,1.0,337
785000,1.0,273
800000,1.0,306
815000,1.0,315
830000,1.0,350
845000,1.0,366
860000,1.0,357
875000,1.0,376
890000,1.0,357
905000,1.0,371
920000,1.0,379
935000,1.0,400
950000,1.0,371
965000,1.0,379
980000,1.0,396
995000,1.0,420
1010000,1.0,390
1025000,1.0,391
1040000,1.0,426
1055000,1.0,440
1070000,1.0,455
1085000,1.0,461
1100000,1.0,441
1115000,1.0,458
1130000,1.0,471
1145000,1.0,507
20000,1.25,10
35000,1.25,30
50000,1.25,35
65000,1.25,37
80000,1.25,68
95000,1.25,71
110000,1.25,91
125000,1.25,73
140000,1.25,95
155000,1.25,91
170000,1.25,110
185000,1.25,121
200000,1.25,128
215000,1.25,152
230000,1.25,152
245000,1.25,167
260000,1.25,172
275000,1.25,220
290000,1.25,168
305000,1.25,194
320000,1.25,212
335000,1.25,221
350000,1.25,222
365000,1.25,256
380000,1.25,257
395000,1.25,260
410000,1.25,288
425000,1.25,265
440000,1.25,278
455000,1.25,298
470000,1.25,297
485000,1.25,327
500000,1.25,334
515000,1.25,325
530000,1.25,352
545000,1.25,337
560000,1.25,374
575000,1.25,351
590000,1.25,401
605000,1.25,370
620000,1.25,388
635000,1.25,441
650000,1.25,431
665000,1.25,435
680000,1.25,395
695000,1.25,441
710000,1.25,444
725000,1.25,464
740000,1.25,499
755000,1.25,469
770000,1.25,507
785000,1.25,482
800000,1.25,519
815000,1.25,513
830000,1.25,485
845000,1.25,510
860000,1.25,519
875000,1.25,517
890000,1.25,535
905000,1.25,553
920000,1.25,554
935000,1.25,557
950000,1.25,599
965000,1.25,614
980000,1.25,621
995000,1.25,608
1010000,1.25,642
1025000,1.25,605
1040000,1.25,651
1055000,1.25,621
1070000,1.25,672
1085000,1.25,674
1100000,1.25,682
1115000,1.25,679
1130000,1.25,712
1145000,1.25,695
20000,1.5,26
35000,1.5,47
50000,1.5,48
65000,1.5,70
80000,1.5,78
95000,1.5,96
110000,1.5,113
125000,1.5,127
140000,1.5,169
155000,1.5,169
170000,1.5,174
185000,1.5,201
200000,1.5,208
215000,1.5,220
230000,1.5,238
245000,1.5,258
260000,1.5,258
275000,1.5,281
290000,1.5,283
305000,1.5,305
320000,1.5,327
335000,1.5,311
350000,1.5,343
365000,1.5,371
380000,1.5,375
395000,1.5,366
410000,1.5,405
425000,1.5,408
440000,1.5,436
455000,1.5,459
470000,1.5,457
485000,1.5,475
500000,1.5,464
515000,1.5,517
530000,1.5,529
545000,1.5,520
560000,1.5,532
575000,1.5,536
590000,1.5,547
605000,1.5,569
620000,1.5,587
635000,1.5,627
650000,1.5,614
665000,1.5,635
680000,1.5,685
695000,1.5,646
710000,1.5,680
725000,1.5,698
740000,1.5,677
755000,1.5,690
770000,1.5,690
785000,1.5,729
800000,1.5,668
815000,1.5,776
830000,1.5,774
845000,1.5,852
860000,1.5,824
875000,1.5,816
890000,1.5,812
905000,1.5,851
920000,1.5,769
935000,1.5,796
950000,1.5,862
965000,1.5,902
980000,1.5,912
995000,1.5,930
1010000,1.5,981
1025000,1.5,950
1040000,1.5,980
1055000,1.5,1003
1070000,1.5,1001
1085000,1.5,967
1100000,1.5,1030
1115000,1.5,1036
1130000,1.5,1011
1145000,1.5,1074
20000,1.75,33
35000,1.75,53
50000,1.75,78
65000,1.75,97
80000,1.75,103
95000,1.75,132
110000,1.75,188
125000,1.75,177
140000,1.75,181
155000,1.75,225
170000,1.75,267
185000,1.75,256
200000,1.75,279
215000,1.75,309
230000,1.75,328
245000,1.75,343
260000,1.75,383
275000,1.75,360
290000,1.75,391
305000,1.75,452
320000,1.75,451
335000,1.75,496
350000,1.75,525
365000,1.75,523
380000,1.75,502
395000,1.75,559
410000,1.75,552
425000,1.75,585
440000,1.75,578
455000,1.75,646
470000,1.75,663
485000,1.75,628
500000,1.75,691
515000,1.75,741
530000,1.75,726
545000,1.75,762
560000,1.75,773
575000,1.75,803
590000,1.75,820
605000,1.75,829
620000,1.75,857
635000,1.75,862
650000,1.75,846
665000,1.75,916
680000,1.75,940
695000,1.75,930
710000,1.75,1022
725000,1.75,958
740000,1.75,1025
755000,1.75,1040
770000,1.75,1054
785000,1.75,1075
800000,1.75,1094
815000,1.75,1075
830000,1.75,1124
845000,1.75,1098
860000,1.75,1072
875000,1.75,1140
890000,1.75,1145
905000,1.75,1131
920000,1.75,1234
935000,1.75,1220
950000,1.75,1296
965000,1.75,1195
980000,1.75,1240
995000,1.75,1345
1010000,1.75,1327
1025000,1.75,1348
1040000,1.75,1376
1055000,1.75,1487
1070000,1.75,1443
1085000,1.75,1504
1100000,1.75,1536
1115000,1.75,1481
1130000,1.75,1569
1145000,1.75,1494
20000,2.0,38
35000,2.0,66
50000,2.0,113
65000,2.0,153
80000,2.0,174
95000,2.0,198
110000,2.0,244
125000,2.0,244
140000,2.0,295
155000,2.0,332
170000,2.0,339
185000,2.0,401
200000,2.0,416
215000,2.0,423
230000,2.0,461
245000,2.0,548
260000,2.0,498
275000,2.0,559
290000,2.0,595
305000,2.0,649
320000,2.0,630
335000,2.0,680
350000,2.0,703
365000,2.0,722
380000,2.0,783
395000,2.0,737
410000,2.0,799
425000,2.0,809
440000,2.0,830
455000,2.0,865
470000,2.0,932
485000,2.0,935
500000,2.0,969
515000,2.0,1005
530000,2.0,974
545000,2.0,1044
560000,2.0,1083
575000,2.0,1029
590000,2.0,1116
605000,2.0,1110
620000,2.0,1263
635000,2.0,1172
650000,2.0,1278
665000,2.0,1182
680000,2.0,1286
695000,2.0,1372
710000,2.0,1359
725000,2.0,1366
740000,2.0,1448
755000,2.0,1537
770000,2.0,1455
785000,2.0,1495
800000,2.0,1523
815000,2.0,1525
830000,2.0,1511
845000,2.0,1591
860000,2.0,1568
875000,2.0,1634
890000,2.0,1724
905000,2.0,1671
920000,2.0,1693
935000,2.0,1669
950000,2.0,1804
965000,2.0,1817
980000,2.0,1813
995000,2.0,1861
1010000,2.0,1936
1025000,2.0,2020
1040000,2.0,1869
1055000,2.0,1926
1070000,2.0,1999
1085000,2.0,1985
1100000,2.0,2093
1115000,2.0,2112
1130000,2.0,2058
1145000,2.0,2150
20000,2.25,81
35000,2.25,113
50000,2.25,126
65000,2.25,190
80000,2.25,231
95000,2.25,294
110000,2.25,309
125000,2.25,355
140000,2.25,385
155000,2.25,450
170000,2.25,457
185000,2.25,557
200000,2.25,551
215000,2.25,563
230000,2.25,640
245000,2.25,705
260000,2.25,755
275000,2.25,767
290000,2.25,776
305000,2.25,818
320000,2.25,868
335000,2.25,868
350000,2.25,932
365000,2.25,960
380000,2.25,1014
395000,2.25,1057
410000,2.25,1083
425000,2.25,1118
440000,2.25,1142
455000,2.25,1197
470000,2.25,1279
485000,2.25,1277
500000,2.25,1353
515000,2.25,1401
530000,2.25,1442
545000,2.25,1544
560000,2.25,1460
575000,2.25,1554
590000,2.25,1568
605000,2.25,1605
620000,2.25,1636
635000,2.25,1615
650000,2.25,1676
665000,2.25,1735
680000,2.25,1801
695000,2.25,1824
710000,2.25,1898
725000,2.25,1884
740000,2.25,1886
755000,2.25,1966
770000,2.25,1961
785000,2.25,1972
800000,2.25,2043
815000,2.25,2093
830000,2.25,2138
845000,2.25,2241
860000,2.25,2170
875000,2.25,2228
890000,2.25,2186
905000,2.25,2241
920000,2.25,2406
935000,2.25,2372
950000,2.25,2411
965000,2.25,2439
980000,2.25,2401
995000,2.25,2554
1010000,2.25,2628
1025000,2.25,2642
1040000,2.25,2627
1055000,2.25,2704
1070000,2.25,2685
1085000,2.25,2698
1100000,2.25,2880
1115000,2.25,2780
1130000,2.25,2861
1145000,2.25,2861
20000,2.5,79
35000,2.5,130
50000,2.5,187
65000,2.5,233
80000,2.5,331
95000,2.5,372
110000,2.5,453
125000,2.5,489
140000,2.5,506
155000,2.5,610
170000,2.5,656
185000,2.5,710
200000,2.5,742
215000,2.5,765
230000,2.5,904
245000,2.5,900
260000,2.5,943
275000,2.5,988
290000,2.5,963
305000,2.5,1104
320000,2.5,1161
335000,2.5,1210
350000,2.5,1325
365000,2.5,1242
380000,2.5,1387
395000,2.5,1385
410000,2.5,1435
425000,2.5,1510
440000,2.5,1518
455000,2.5,1643
470000,2.5,1703
485000,2.5,1800
500000,2.5,1765
515000,2.5,1830
530000,2.5,1817
545000,2.5,1905
560000,2.5,2020
575000,2.5,2010
590000,2.5,2017
605000,2.5,2137
620000,2.5,2167
635000,2.5,2221
650000,2.5,2210
665000,2.5,2379
680000,2.5,2438
695000,2.5,2373
710000,2.5,2440
725000,2.5,2564
740000,2.5,2599
755000,2.5,2585
770000,2.5,2558
785000,2.5,2690
800000,2.5,2716
815000,2.5,2811
830000,2.5,2768
845000,2.5,2904
860000,2.5,3012
875000,2.5,2995
890000,2.5,3025
905000,2.5,3067
920000,2.5,3124
935000,2.5,3243
950000,2.5,3243
965000,2.5,3387
980000,2.5,3267
995000,2.5,3337
1010000,2.5,3486
1025000,2.5,3560
1040000,2.5,3567
1055000,2.5,3551
1070000,2.5,3624
1085000,2.5,3686
1100000,2.5,3734
1115000,2.5,3787
1130000,2.5,3782
1145000,2.5,3909
20000,2.75,102
35000,2.75,170
50000,2.75,236
65000,2.75,337
80000,2.75,401
95000,2.75,430
110000,2.75,518
125000,2.75,690
140000,2.75,721
155000,2.75,794
170000,2.75,802
185000,2.75,898
200000,2.75,966
215000,2.75,1095
230000,2.75,1148
245000,2.75,1204
260000,2.75,1280
275000,2.75,1358
290000,2.75,1388
305000,2.75,1413
320000,2.75,1522
335000,2.75,1598
350000,2.75,1677
365000,2.75,1775
380000,2.75,1794
395000,2.75,1815
410000,2.75,1998
425000,2.75,2071
440000,2.75,2051
455000,2.75,2133
470000,2.75,2238
485000,2.75,2220
500000,2.75,2216
515000,2.75,2474
530000,2.75,2505
545000,2.75,2538
560000,2.75,2586
575000,2.75,2639
590000,2.75,2706
605000,2.75,2831
620000,2.75,2830
635000,2.75,2921
650000,2.75,2946
665000,2.75,3009
680000,2.75,2927
695000,2.75,3148
710000,2.75,3248
725000,2.75,3347
740000,2.75,3376
755000,2.75,3412
770000,2.75,3575
785000,2.75,3703
800000,2.75,3566
815000,2.75,3680
830000,2.75,3712
845000,2.75,3830
860000,2.75,3883
875000,2.75,4022
890000,2.75,4040
905000,2.75,4028
920000,2.75,4162
935000,2.75,4160
950000,2.75,4176
965000,2.75,4346
980000,2.75,4389
995000,2.75,4534
1010000,2.75,4563
1025000,2.75,4580
1040000,2.75,4614
1055000,2.75,4622
1070000,2.75,4716
1085000,2.75,4787
1100000,2.75,4911
1115000,2.75,5005
1130000,2.75,4979
1145000,2.75,5174
20000,3.0,142
35000,3.0,253
50000,3.0,276
65000,3.0,446
80000,3.0,518
95000,3.0,631
110000,3.0,728
125000,3.0,810
140000,3.0,901
155000,3.0,1029
170000,3.0,1136
185000,3.0,1204
200000,3.0,1314
215000,3.0,1328
230000,3.0,1453
245000,3.0,1532
260000,3.0,1625
275000,3.0,1682
290000,3.0,1841
305000,3.0,1901
320000,3.0,1992
335000,3.0,2038
350000,3.0,2135
365000,3.0,2246
380000,3.0,2372
395000,3.0,2417
410000,3.0,2490
425000,3.0,2595
440000,3.0,2764
455000,3.0,2805
470000,3.0,2876
485000,3.0,2891
500000,3.0,2965
515000,3.0,2941
530000,3.0,3229
545000,3.0,3354
560000,3.0,3506
575000,3.0,3521
590000,3.0,3530
605000,3.0,3580
620000,3.0,3623
635000,3.0,3722
650000,3.0,3795
665000,3.0,3873
680000,3.0,3927
695000,3.0,4018
710000,3.0,4163
725000,3.0,4329
740000,3.0,4351
755000,3.0,4445
770000,3.0,4445
785000,3.0,4521
800000,3.0,4708
815000,3.0,4658
830000,3.0,4852
845000,3.0,4892
860000,3.0,5008
875000,3.0,5164
890000,3.0,5215
905000,3.0,5362
920000,3.0,5354
935000,3.0,5498
950000,3.0,5630
965000,3.0,5564
980000,3.0,5708
995000,3.0,5727
1010000,3.0,5838
1025000,3.0,5872
1040000,3.0,6095
1055000,3.0,6002
1070000,3.0,6145
1085000,3.0,6190
1100000,3.0,6251
1115000,3.0,6289
1130000,3.0,6537
1145000,3.0,6470
