word,count
you,44310
a,43832
the,33708
no,29334
is,28663
to,20204
it,19826
what,19150
this,17384
oh,15618
la,14561
I,13876
and,12777
do,12518
es,11818
el,11265
that,9969
are,9860
de,9842
un,9113
one,9043
on,8611
want,8562
can,8460
in,8177
yeah,8012
we,7991
here,7941
me,7876
y,7628
have,7131
your,6759
yes,6194
he,5980
i,5880
so,5714
like,5503
see,5499
te,5463
en,5428
look,5370
ah,5275
tu,5218
se,4855
there,4834
not,4816
where,4816
go,4716
for,4552
of,4437
right,4368
eh,4335
ha,4306
si,4280
put,4189
now,4133
lo,4098
did,3716
know,3678
going,3593
they,3589
how,3527
with,3504
come,3381
she,3299
at,3259
S,3237
then,3006
be,2952
why,2942
say,2916
who,2896
L,2892
e,2866
very,2831
get,2820
but,2810
good,2801
ya,2723
got,2716
yo,2711
some,2700
all,2540
up,2524
my,2410
her,2332
does,2252
about,2216
was,2191
doing,2190
just,2186
will,2166
o,2151
van,2114
think,2106
out,2074
hi,2052
eat,2052
al,2028
them,2025
down,1984
bien,1961
little,1926
because,1917
Darren,1903
two,1897
ne,1863
da,1860
well,1858
or,1837
con,1831
het,1795
more,1789
mi,1785
give,1776
book,1771
take,1738
tell,1733
hey,1725
wow,1722
his,1710
wat,1704
big,1684
if,1667
molt,1658
too,1653
play,1623
non,1603
him,1597
baby,1573
Charlotte,1545
Alicia,1541
hay,1521
color,1517
vas,1502
back,1453
para,1436
which,1425
ara,1403
make,1388
please,1376
many,1369
huh,1367
son,1359
let,1341
these,1336
shall,1330
per,1326
die,1303
ho,1297
read,1268
las,1240
ay,1238
ce,1228
n,1221
che,1212
when,1202
car,1191
ma,1189
again,1186
another,1153
els,1148
mommy,1143
as,1129
li,1072
ai,1069
vale,1068
need,1063
inside,1062
should,1060
something,1047
water,1039
hello,1038
off,1031
nice,1024
time,1022
three,1015
said,1014
an,1012
away,1011
show,1007
sit,1001
open,996
papa,970
house,967
really,924
find,917
turn,911
name,906
dos,899
u,892
draw,876
cat,874
else,866
s,864
help,853
over,851
kai,847
girl,839
story,835
any,833
ask,826
er,822
thank,815
from,810
first,809
red,808
Janet,780
way,774
Winston,773
other,769
kore,768
hand,763
na,754
fa,748
remember,742
blue,739
di,735
am,727
dan,722
those,719
j,717
ani,711
would,705
elle,701
daddy,693
bear,693
try,693
school,689
maybe,682
us,679
jo,677
boy,677
nog,668
only,662
into,653
home,652
bit,651
ball,646
fish,639
petit,637
bed,633
alright,630
bad,623
door,622
h,619
met,618
eating,614
Sara,606
ben,604
dog,602
nee,598
dit,597
coming,592
v,591
Leo,590
ti,587
had,585
sleep,579
picture,579
ga,574
were,569
hair,569
use,567
Olivier,556
wait,555
green,545
rabbit,540
four,539
could,532
people,527
claro,525
small,525
apple,524
broken,520
head,518
hold,516
even,512
honey,511
floor,510
by,507
M,504
man,504
nu,502
gone,499
yea,496
same,491
new,489
das,485
fall,484
cannot,483
five,483
llama,482
still,480
throw,480
today,479
quin,479
English,478
mouse,465
train,458
orange,456
much,455
enough,454
waar,453
dice,449
bye,447
looking,446
box,446
round,445
goes,444
zo,442
aw,442
pour,439
drink,438
whose,437
most,436
next,435
em,432
nose,432
sorry,432
room,429
yours,422
horse,421
agua,420
close,418
wolf,417
careful,415
long,414
already,414
hala,413
boat,409
mean,407
d,405
Lulu,405
