word,count
you,449062
a,379012
the,329321
it,230857
no,208264
to,180935
is,171395
that,165536
and,161990
oh,160068
what,154995
I,140540
on,130337
in,130315
do,128919
da,103644
we,102784
are,88219
he,86634
this,84789
there,84683
de,84094
ne,78106
your,78072
un,75146
go,70219
can,68999
one,66723
see,63896
like,61544
have,59743
was,59504
of,57502
look,56339
me,56244
yeah,56182
here,55861
put,55440
y,54365
ni,53898
o,52658
la,50974
yo,49962
with,49686
so,49385
die,49267
right,49120
tu,47907
not,47068
for,46855
at,46141
e,45702
going,45503
think,45336
did,44631
now,44380
se,44185
i,44072
wa,42993
got,42417
she,42048
they,40762
up,40695
get,40571
know,39001
ti,38754
das,38653
all,38413
be,38284
en,37872
yes,37687
well,37645
ga,36807
come,36008
ist,35986
some,35588
n,34454
just,33119
ya,32785
good,32747
them,32247
mal,32014
want,31508
then,31479
ka,31380
ah,31060
kore,31026
ma,30167
te,30020
na,29646
er,29234
little,29141
es,29060
where,28991
her,28577
si,27567
di,27547
out,26894
but,25065
el,24839
mi,24670
het,24314
does,24020
down,23542
because,23323
say,23194
an,22886
if,22517
eh,22189
ha,21595
baby,21537
how,21128
wat,21116
very,20820
my,20690
mo,20400
ich,20243
back,20045
big,20027
doing,19972
when,19798
his,19672
about,19437
den,19237
him,18711
over,18432
play,18297
kan,18291
more,18143
man,18057
yang,17613
or,16503
these,16400
too,16200
nee,16122
make,15888
why,15865
off,15852
nice,15816
pa,15779
those,15711
two,15622
would,15417
Thomas,15241
ie,14898
who,14740
take,14667
u,14528
eat,14375
lo,14168
zo,14122
sa,13992
apa,13941
as,13907
shall,13878
van,13591
dan,13448
ce,13426
were,13380
huh,13314
will,12642
else,12600
sad,12493
had,12403
book,12227
again,11863
moo,11564
other,11474
non,11364
hat,11362
boy,11315
tell,11309
sit,11132
bit,11121
car,11017
another,10889
really,10844
even,10796
let,10720
wir,10718
koko,10629
something,10545
time,10486
li,10347
goes,10242
give,10151
nog,10075
hi,9827
sore,9738
t,9567
way,9545
ta,9500
house,9354
al,9290
alright,9272
any,9252
girl,9180
please,9178
from,9091
done,8878
need,8858
could,8671
find,8527
darling,8523
away,8474
said,8394
should,8291
remember,8291
kalo,8211
para,8197
today,8070
hora,7939
home,7909
bien,7713
m,7667
red,7593
better,7580
turn,7528
nu,7492
gone,7490
box,7487
naa,7447
color,7439
mana,7328
went,7288
water,7273
yn,7208
which,7198
three,7178
maybe,7033
open,7012
train,7005
read,6977
aru,6927
met,6916
con,6908
