item,itemID,type,choices,complexity_category,definition
ahah,item_1,ANIMALS (Real or toy),produces; doesn't produce,,ahah
baabaa,item_2,ANIMALS (Real or toy),produces; doesn't produce,,baabaa
bowwow,item_3,ANIMALS (Real or toy),produces; doesn't produce,,bowwow
choochoo,item_4,CLOTHES,produces; doesn't produce,,choochoo
cockadoodledoo,item_5,CLOTHES,produces; doesn't produce,,cockadoodledoo
grr,item_6,ANIMALS (Real or toy),produces; doesn't produce,,grr
meow,item_7,ANIMALS (Real or toy),produces; doesn't produce,,meow
moo,item_8,ANIMALS (Real or toy),produces; doesn't produce,,moo
ouch,item_9,OUTSIDE THINGS,produces; doesn't produce,,ouch
quackquack,item_10,ANIMALS (Real or toy),produces; doesn't produce,,quackquack
uhoh,item_11,ANIMALS (Real or toy),produces; doesn't produce,,uhoh
vroom,item_12,VEHICLES (Real or toy),produces; doesn't produce,,vroom
yumyum,item_13,ANIMALS (Real or toy),produces; doesn't produce,,yumyum
ainmhí,item_14,ANIMALS (Real or toy),produces; doesn't produce,,ainmhí
animal,item_15,ANIMALS (Real or toy),produces; doesn't produce,,animal
asal,item_16,ANIMALS (Real or toy),produces; doesn't produce,,asal
donkey,item_17,OUTSIDE THINGS,produces; doesn't produce,,donkey
beach,item_18,ANIMALS (Real or toy),produces; doesn't produce,,beach
bee,item_19,ANIMALS (Real or toy),produces; doesn't produce,,bee
bear,item_20,ANIMALS (Real or toy),produces; doesn't produce,,bear_béir
bó,item_21,OUTSIDE THINGS,produces; doesn't produce,,bó
cow,item_22,CLOTHES,produces; doesn't produce,,cow
bóindé,item_23,OUTSIDE THINGS,produces; doesn't produce,,bóindé
ladybird,item_24,ANIMALS (Real or toy),produces; doesn't produce,,ladybird
caora,item_25,CLOTHES,produces; doesn't produce,,caora
sheep,item_26,SMALL HOUSEHOLD ITEMS,produces; doesn't produce,,sheep
capallín,item_27,CLOTHES,produces; doesn't produce,,capallín
pony,item_28,OUTSIDE THINGS,produces; doesn't produce,,pony
capall,item_29,CLOTHES,produces; doesn't produce,,capall
horse,item_30,OUTSIDE THINGS,produces; doesn't produce,,horse
catie,item_31,CLOTHES,produces; doesn't produce,,catie
cearc,item_32,CLOTHES,produces; doesn't produce,,cearc
hen,item_33,ANIMALS (Real or toy),produces; doesn't produce,,hen
coileach,item_34,CLOTHES,produces; doesn't produce,,coileach
cock,item_35,CLOTHES,produces; doesn't produce,,cock
coileán,item_36,CLOTHES,produces; doesn't produce,,coileán
puppy,item_37,ANIMALS (Real or toy),produces; doesn't produce,,puppy
coinín,item_38,CLOTHES,produces; doesn't produce,,coinín
rabbit,item_39,ANIMALS (Real or toy),produces; doesn't produce,,rabbit
cuileog,item_40,CLOTHES,produces; doesn't produce,,cuileog
fly,item_41,ANIMALS (Real or toy),produces; doesn't produce,,fly
damhánalla,item_42,ANIMALS (Real or toy),produces; doesn't produce,,damhánalla
spider,item_43,ANIMALS (Real or toy),produces; doesn't produce,,spider
eala,item_44,ANIMALS (Real or toy),produces; doesn't produce,,eala
swan,item_45,ANIMALS (Real or toy),produces; doesn't produce,,swan
éan,item_46,ANIMALS (Real or toy),produces; doesn't produce,,éan
bird,item_47,ANIMALS (Real or toy),produces; doesn't produce,,bird
eilifint,item_48,ANIMALS (Real or toy),produces; doesn't produce,,eilifint_elephant
faoileán,item_49,ANIMALS (Real or toy),produces; doesn't produce,,faoileán
seagull,item_50,ANIMALS (Real or toy),produces; doesn't produce,,seagull
féileacán,item_51,ANIMALS (Real or toy),produces; doesn't produce,,féileacán_apeileacán
butterfly,item_52,ANIMALS (Real or toy),produces; doesn't produce,,butterfly
fia,item_53,ANIMALS (Real or toy),produces; doesn't produce,,fia
deer,item_54,ANIMALS (Real or toy),produces; doesn't produce,,deer
frogie,item_55,ANIMALS (Real or toy),produces; doesn't produce,,frogie
gabhar,item_56,ANIMALS (Real or toy),produces; doesn't produce,,gabhar
goat,item_57,OUTSIDE THINGS,produces; doesn't produce,,goat
gé,item_58,ANIMALS (Real or toy),produces; doesn't produce,,gé
goose,item_59,OUTSIDE THINGS,produces; doesn't produce,,goose
iasc,item_60,ANIMALS (Real or toy),produces; doesn't produce,,iasc
fish,item_61,ANIMALS (Real or toy),produces; doesn't produce,,fish
lacha,item_62,ANIMALS (Real or toy),produces; doesn't produce,,lacha
duck,item_63,ANIMALS (Real or toy),produces; doesn't produce,,duck
lao,item_64,ANIMALS (Real or toy),produces; doesn't produce,,lao_agamhainín
calf,item_65,CLOTHES,produces; doesn't produce,,calf
leon,item_66,ANIMALS (Real or toy),produces; doesn't produce,,leon
lion,item_67,ANIMALS (Real or toy),produces; doesn't produce,,lion
luch,item_68,ANIMALS (Real or toy),produces; doesn't produce,,luch
mouse,item_69,OUTSIDE THINGS,produces; doesn't produce,,mouse
mactíre,item_70,ANIMALS (Real or toy),produces; doesn't produce,,mactíre
wolf,item_71,OUTSIDE THINGS,produces; doesn't produce,,wolf
madrarua,item_72,ANIMALS (Real or toy),produces; doesn't produce,,madrarua_sionnach
fox,item_73,OUTSIDE THINGS,produces; doesn't produce,,fox
madra,item_74,ANIMALS (Real or toy),produces; doesn't produce,,madra_gadhar
dog,item_75,OUTSIDE THINGS,produces; doesn't produce,,dog
moncaí,item_76,OUTSIDE THINGS,produces; doesn't produce,,moncaí_monkey
muc,item_77,ANIMALS (Real or toy),produces; doesn't produce,,muc
pig,item_78,ANIMALS (Real or toy),produces; doesn't produce,,pig
nathair,item_79,ANIMALS (Real or toy),produces; doesn't produce,,nathair
snake,item_80,ANIMALS (Real or toy),produces; doesn't produce,,snake
piongain,item_81,ANIMALS (Real or toy),produces; doesn't produce,,piongain
penguin,item_82,ANIMALS (Real or toy),produces; doesn't produce,,penguin
piscín,item_83,ANIMALS (Real or toy),produces; doesn't produce,,piscín_acaitín
kitten,item_84,ANIMALS (Real or toy),produces; doesn't produce,,kitten_apussycat
préachán,item_85,ANIMALS (Real or toy),produces; doesn't produce,,préachán
crow,item_86,CLOTHES,produces; doesn't produce,,crow
séabra,item_87,ANIMALS (Real or toy),produces; doesn't produce,,séabra
zebra,item_88,ANIMALS (Real or toy),produces; doesn't produce,,zebra
seilide,item_89,ANIMALS (Real or toy),produces; doesn't produce,,seilide_seilmide
snail,item_90,ANIMALS (Real or toy),produces; doesn't produce,,snail
sicín,item_91,ANIMALS (Real or toy),produces; doesn't produce,,sicín
chicken,item_92,CLOTHES,produces; doesn't produce,,chicken
sioráf,item_93,ANIMALS (Real or toy),produces; doesn't produce,,sioráf
giraffe,item_94,ANIMALS (Real or toy),produces; doesn't produce,,giraffe
spideog,item_95,ANIMALS (Real or toy),produces; doesn't produce,,spideog
robin,item_96,OUTSIDE THINGS,produces; doesn't produce,,robin
teidí,item_97,TOYS,produces; doesn't produce,,teidí_teddybear
tíogar,item_98,TOYS,produces; doesn't produce,,tíogar
tiger,item_99,TOYS,produces; doesn't produce,,tiger
turcaí,item_100,TOYS,produces; doesn't produce,,turcaí_turkey
uan,item_101,ANIMALS (Real or toy),produces; doesn't produce,,uan
lamb,item_102,ANIMALS (Real or toy),produces; doesn't produce,,lamb
bád,item_103,VEHICLES (Real or toy),produces; doesn't produce,,bád
boat,item_104,VEHICLES (Real or toy),produces; doesn't produce,,boat
busie,item_105,VEHICLES (Real or toy),produces; doesn't produce,,busie
carr,item_106,VEHICLES (Real or toy),produces; doesn't produce,,carr_mótar_gluaisteán
car,item_107,VEHICLES (Real or toy),produces; doesn't produce,,car
eitleán,item_108,VEHICLES (Real or toy),produces; doesn't produce,,eitleán
aeroplane,item_109,VEHICLES (Real or toy),produces; doesn't produce,,aeroplane
gluaisrothar,item_110,VEHICLES (Real or toy),produces; doesn't produce,,gluaisrothar
motorbike,item_111,VEHICLES (Real or toy),produces; doesn't produce,,motorbike
héileacaptar,item_112,VEHICLES (Real or toy),produces; doesn't produce,,héileacaptar_helicopter
jeepie,item_113,VEHICLES (Real or toy),produces; doesn't produce,,jeepie
leoraí,item_114,VEHICLES (Real or toy),produces; doesn't produce,,leoraí_lorry
long,item_115,VEHICLES (Real or toy),produces; doesn't produce,,long
ship,item_116,VEHICLES (Real or toy),produces; doesn't produce,,ship
otharcharr,item_117,VEHICLES (Real or toy),produces; doesn't produce,,otharcharr
ambulance,item_118,VEHICLES (Real or toy),produces; doesn't produce,,ambulance
pram,item_119,VEHICLES (Real or toy),produces; doesn't produce,,pram_buggy_bugaí
rothar,item_120,VEHICLES (Real or toy),produces; doesn't produce,,rothar
bike,item_121,VEHICLES (Real or toy),produces; doesn't produce,,bike_bicycle
tarracóir,item_122,VEHICLES (Real or toy),produces; doesn't produce,,tarracóir
tractor,item_123,VEHICLES (Real or toy),produces; doesn't produce,,tractor
tochaltóir,item_124,VEHICLES (Real or toy),produces; doesn't produce,,tochaltóir_bainteoir
digger,item_125,VEHICLES (Real or toy),produces; doesn't produce,,digger
traein,item_126,VEHICLES (Real or toy),produces; doesn't produce,,traein_train
truck,item_127,VEHICLES (Real or toy),produces; doesn't produce,,truck_trucail
veain,item_128,VEHICLES (Real or toy),produces; doesn't produce,,veain_van
bábóg,item_129,TOYS,produces; doesn't produce,,bábóg
doll,item_130,TOYS,produces; doesn't produce,,doll
balún,item_131,TOYS,produces; doesn't produce,,balún_balloon
bloic,item_132,TOYS,produces; doesn't produce,,bloic_brící
blocks,item_133,TOYS,produces; doesn't produce,,blocks
boilgeoga,item_134,TOYS,produces; doesn't produce,,boilgeoga
bubbles,item_135,TOYS,produces; doesn't produce,,bubbles
bréagán,item_136,TOYS,produces; doesn't produce,,bréagán_áilleagán
toy,item_137,TOYS,produces; doesn't produce,,toy
bronntanas,item_138,TOYS,produces; doesn't produce,,bronntanas_féirín
present,item_139,TOYS,produces; doesn't produce,,present
camán,item_140,CLOTHES,produces; doesn't produce,,camán
hurley,item_141,TOYS,produces; doesn't produce,,hurley
cluiche,item_142,CLOTHES,produces; doesn't produce,,cluiche
game,item_143,TOYS,produces; doesn't produce,,game
crayon,item_144,CLOTHES,produces; doesn't produce,,crayon_crián
dathú,item_145,TOYS,produces; doesn't produce,,dathú
druma,item_146,TOYS,produces; doesn't produce,,druma
drum,item_147,TOYS,produces; doesn't produce,,drum
gliú,item_148,TOYS,produces; doesn't produce,,gliú_glue_ie
gunna,item_149,TOYS,produces; doesn't produce,,gunna
gun,item_150,TOYS,produces; doesn't produce,,gun
leabhar,item_151,TOYS,produces; doesn't produce,,leabhar
book,item_152,TOYS,produces; doesn't produce,,book
liathróid,item_153,TOYS,produces; doesn't produce,,liathróid_caid_peil
(foot)ball,item_154,TOYS,produces; doesn't produce,,(foot)ball
míreannamearaí,item_155,TOYS,produces; doesn't produce,,míreannamearaí
jigsaw,item_156,TOYS,produces; doesn't produce,,jigsaw
peann,item_157,TOYS,produces; doesn't produce,,peann
pen,item_158,TOYS,produces; doesn't produce,,pen
peannluaidhe,item_159,TOYS,produces; doesn't produce,,peannluaidhe
pencil,item_160,TOYS,produces; doesn't produce,,pencil
scéal,item_161,CLOTHES,produces; doesn't produce,,scéal
story,item_162,TOYS,produces; doesn't produce,,story
sliotarie,item_163,TOYS,produces; doesn't produce,,sliotarie
anraith,item_164,FOOD AND DRINK,produces; doesn't produce,,anraith_súp
soup,item_165,FOOD AND DRINK,produces; doesn't produce,,soup
arán,item_166,FOOD AND DRINK,produces; doesn't produce,,arán_builín
bread,item_167,FOOD AND DRINK,produces; doesn't produce,,bread
bagún,item_168,FOOD AND DRINK,produces; doesn't produce,,bagún
bacon,item_169,FOOD AND DRINK,produces; doesn't produce,,bacon
bainne,item_170,FOOD AND DRINK,produces; doesn't produce,,bainne
milk,item_171,FOOD AND DRINK,produces; doesn't produce,,milk
banana,item_172,FOOD AND DRINK,produces; doesn't produce,,banana_ie
bia,item_173,FOOD AND DRINK,produces; doesn't produce,,bia
food,item_174,FOOD AND DRINK,produces; doesn't produce,,food
bocaire,item_175,FOOD AND DRINK,produces; doesn't produce,,bocaire_muifín
muffin,item_176,FOOD AND DRINK,produces; doesn't produce,,muffin
burgar,item_177,FOOD AND DRINK,produces; doesn't produce,,burgar_burgar_ie
