item,group
CHIID,
SessionNo,
age,
gender,
BirthOrder,
MainCaregiverIrish,
MainCaregiverEnglish,
LanguageHousehold,
MotherEducationESS,
FatherEducationESS,
asahah,as
asbaabaa,as
asbowwow,as
aschoochoo,as
ascockadoodledoo,as
asgrr,as
asmeow,as
asmoo,as
asouch,as
asquackquack,as
asuhoh,as
asvroom,as
asyumyum,as
aainmhi#,a
aanimal,a
aasal,a
adonkey,a
abeach,a
abee,a
abear_be#ir,a
abo#,a
acow,a
abo#inde#,a
aladybird,a
acaora,a
asheep,a
acapalli#n,a
apony,a
acapall,a
ahorse,a
acatie,a
acearc,a
ahen,a
acoileach,a
acock,a
acoilea#n,a
apuppy,a
acoini#n,a
arabbit,a
acuileog,a
afly,a
adamha#nalla,a
aspider,a
aeala,a
aswan,a
ae#an,a
abird,a
aeilifint_elephant,a
afaoilea#n,a
aseagull,a
afe#ileaca#n_apeileaca#n,a
abutterfly,a
afia,a
adeer,a
afrogie,a
agabhar,a
agoat,a
age#,a
agoose,a
aiasc,a
afish,a
alacha,a
aduck,a
alao_agamhaini#n,a
acalf,a
aleon,a
alion,a
aluch,a
amouse,a
amacti#re,a
awolf,a
amadrarua_sionnach,a
afox,a
amadra_gadhar,a
adog,a
amoncai#_monkey,a
amuc,a
apig,a
anathair,a
asnake,a
apiongain,a
apenguin,a
apisci#n_acaiti#n,a
akitten_apussycat,a
apre#acha#n,a
acrow,a
ase#abra,a
azebra,a
aseilide_seilmide,a
asnail,a
asici#n,a
achicken,a
asiora#f,a
agiraffe,a
aspideog,a
arobin,a
ateidi#_teddybear,a
ati#ogar,a
atiger,a
aturcai#_turkey,a
auan,a
alamb,a
vba#d,v
vboat,v
vbusie,v
vcarr_mo#tar_gluaistea#n,v
vcar,v
veitlea#n,v
vaeroplane,v
vgluaisrothar,v
vmotorbike,v
vhe#ileacaptar_helicopter,v
vjeepie,v
vleorai#_lorry,v
vlong,v
vship,v
votharcharr,v
vambulance,v
vpram_buggy_bugai#,v
vrothar,v
vbike_bicycle,v
vtarraco#ir,v
vtractor,v
vtochalto#ir_bainteoir,v
vdigger,v
vtraein_train,v
vtruck_trucail,v
vveain_van,v
tba#bo#g,t
tdoll,t
tbalu#n_balloon,t
tbloic_bri#ci#,t
tblocks,t
tboilgeoga,t
tbubbles,t
tbre#aga#n_a#illeaga#n,t
ttoy,t
tbronntanas_fe#iri#n,t
tpresent,t
tcama#n,t
thurley,t
tcluiche,t
tgame,t
tcrayon_cria#n,t
tdathu#,t
tdruma,t
tdrum,t
tgliu#_glue_ie,t
tgunna,t
tgun,t
tleabhar,t
tbook,t
tliathro#id_caid_peil,t
t@foot@ball,t
tmi#reannamearai#,t
tjigsaw,t
tpeann,t
tpen,t
tpeannluaidhe,t
tpencil,t
tsce#al,t
tstory,t
tsliotarie,t
fdanraith_su#p,fd
fdsoup,fd
fdara#n_buili#n,fd
fdbread,fd
fdbagu#n,fd
fdbacon,fd
fdbainne,fd
fdmilk,fd
fdbanana_ie,fd
fdbia,fd
fdfood,fd
fdbocaire_muifi#n,fd
fdmuffin,fd
fdburgar_burgar_ie,fd
fdbriosca,fd
fdbiscuit,fd
fdcaba#iste,fd
fdcabbage,fd
fdca#ca_ci#ste,fd
fdcake,fd
fdcoffee_caife,fd
fdcaire#id_caire#idi#,fd
fdcarrot_carrots,fd
fdca#is,fd
fdcheese,fd
fdcalo#garbhair,fd
fdcornflakes,fd
fdcaorafi#nu#na,fd
fdgrapes,fd
fdceapaire,fd
fdsandwich,fd
fdcnaipi#ni#sici#n,fd
fdchickennuggets,fd
fdcno#nna,fd
fdnuts,fd
fdcoke_co#c,fd
fdcriospai#_te#iteo,fd
fdcrisps_Taytos,fd
fdcucumber_cu#camar,fd
fddeoch,fd
fddrink,fd
fdtaoschno#,fd
fddonut_ie,fd
fdfeoil,fd
fdmeat,fd
fdglo#thach,fd
fdjelly,fd
fdiasc,fd
fdfish,fd
fdim,fd
fdbutter,fd
fdyoghurt_io#gairt,fd
fdispi#ni#_sasagai#,fd
fdsausages,fd
fdleite_praiseach,fd
fdporridge,fd
fdliamha#s_ma#s,fd
fdham,fd
fdli#reaca#n,fd
fdlollipop,fd
fdmil,fd
fdhoney,fd
fdmilsea#in,fd
fdsweets,fd
fdora#i#ste,fd
fdorange,fd
fdpanco#g,fd
fdpancake,fd
fdpasta_ie,fd
fdpiorra,fd
fdpear,fd
fdpizza_ie,fd
fdpiseanna,fd
fdpeas,fd
fdpo#nairi#,fd
fdbeans,fd
fdpra#ta_fata,fd
fdpotato,fd
fdreoiteog,fd
fdicepop,fd
fdri#si#n,fd
fdraisin,fd
fdsalann,fd
fdsalt,fd
fdsceallo#ga,fd
fdchips,fd
fdseacla#id,fd
fdchocolate,fd
fdslisi#ni#_bagu#in,fd
fdrashers,fd
fdspagettiie,fd
fdsu#talu#n,fd
fdstrawberry,fd
fdsu#,fd
fdjuice,fd
fdsubh,fd
fdjam,fd
fdtae,fd
fdtea,fd
fdtornapa,fd
fdturnip,fd
fdto#sta,fd
fdtoast,fd
fdtra#ta,fd
fdtomato,fd
fduachtarreoite,fd
fdicecream,fd
fdubh_gogai#,fd
fdegg,fd
fduisce,fd
fdwater,fd
fdu#ll,fd
fdapple,fd
cbibe_beanno#g,c
cbib,c
cbri#ste_treabhsar,c
Ctrousers,c
cbri#stegearra,c
cshorts,c
cbro#ga,c
cshoes,c
cbro#gareatha,c
crunners,c
cbuataisi#,c
cboots_wellies,c
ccaipi#n,c
ccap,c
ccardigan_cairdeagan_ie,c
cclu#idi#n,c
cnappy,c
ccnaipe,c
cbutton,c
cco#ta,c
ccoat,c
ccrios,c
cbelt,c
cculaithleapa,c
cpijamas,c
cculaithsna#mha,c
cswimmingtogs,c
ce#adai#,c
cclothes,c
cfa#inne,c
cring,c
cfobhri#ste_bri#sti#n,c
cunderpants,c
cgeansai#,c
cjumper,c
cgu#na,c
cdress,c
chata,c
chat,c
cla#mhainni#_miteogai#,c
cgloves_mittens,c
cle#ine,c
cshirt,c
criteoga,c
ctights,c
cscairf_scarf_ie,c
csciorta,c
cskirt,c
cseaice#ad_caso#g,c
cjacket,c
czip_sip_ie,c
cslipe#ir,c
cslipper,c
cspe#aclai#,c
cglasses,c
cstocai#,c
csocks,c
ctle#ine,c
ctshirt,c
cveist_cfole#ine,c
cvest,c
bpaghaidh,bp
bpface,bp
bpbarraici#ni#,bp
bptoes,bp
bpbe#al,bp
bpmouth,bp
bpbeola,bp
bplips,bp
bpbolg,bp
bptummy_stomach,bp
bpceann_bpcloigeann,bp
bphead,bp
bpcluasa,bp
bpears,bp
bpcos,bp
bpfoot,bp
bpdroim,bp
bpback,bp
bpfiacla,bp
bpteeth,bp
bpglu#in,bp
bpknee,bp
bpgruaig,bp
bphair,bp
bpgualainn,bp
bpshoulder@s@,bp
bpla#mh,bp
bphand,bp
bpleiceann,bp
bpcheek,bp
bplu#idi#n,bp
bpmala,bp
bpeyebrow,bp
bpme#ar,bp
bpfinger,bp
bpmuinea#l,bp
bpneck,bp
bpordo#g,bp
bpthumb,bp
bppilibi#n,bp
bpwilly,bp
bpsmig,bp
bpchin,bp
bpsro#n_cainci#n,bp
bpnose,bp
bpscornach,bp
bpthroat,bp
bpsu#il,bp
bpeye,bp
bpteanga,bp
bptongue,bp
bpto#in_bundu#n,bp
bpbottom,bp
bpuilinn,bp
bpelbow,bp
shairgead,sh
shmoney,sh
shbabhla_mias,sh
shbowl,sh
shbascaed_cisea#n,sh
shbasket,sh
shblaince#ad_pluid,sh
shblanket,sh
shbord,sh
shtable,sh
shbosca,sh
shbox,sh
shboscabruscair,sh
shdustbin,sh
shbruscar,sh
shrubbish,sh
shbuice#ad,sh
shbucket,sh
shbuide#al,sh
shbottle,sh
shcasu#r,sh
shhammer,sh
shceamara,sh
shcamara,sh
shci#or,sh
shcomb,sh
shkettle_citeal_ie,sh
shfi#ocha#n_shciarsu#r,sh
shtissue,sh
shfolu#sghlanto#ir,sh
shhoover,sh
shfo#npho#ca,sh
shmobilephone,sh
shfork_forc_ie,sh
shgallu#nach,sh
shsoap,sh
shgloine,sh
shglass,sh
shlampa,sh
shlamp,sh
shleigheas,sh
shmedicine,sh
shma#la,sh
shbag,sh
shmapa_le#arsca#il,sh
shmap,sh
shmuga,sh
shmug,sh
shpa#ipe#ar,sh
shpaper,sh
shpingin,sh
shpenny_cent,sh
shpictu#ir,sh
shpicture,sh
shradio_radio_ie,sh
shsa#span,sh
shsaucepan,sh
shsca#tha#n,sh
shmirror,sh
shscian,sh
shknife,sh
shsconna,sh
shtap,sh
shscuab,sh
shbrush,sh
shscualfiacla,sh
shtoothbrush,sh
shshampooie,sh
shsiosu#r,sh
shscissors,sh
shsolas,sh
shlight,sh
shspu#no#g,sh
shspoon,sh
shtaephota,sh
shteapot,sh
shtaosfiacla,sh
shtoothpaste,sh
shteileafo#n_gutha#n,sh
shtelephone,sh
shclog,sh
shclock,sh
shcru#isci#n,sh
shjug,sh
shcupa#n,sh
shcup,sh
sheochair_eochracha,sh
shkey_s,sh
shpiliu#r,sh
shpillow,sh
shplanda_luibh,sh
shplant,sh
shpla#ta,sh
shplate,sh
shpota,sh
shpot,sh
shtape_te#ip_DVD,sh
shtu#aille,sh
shtowel,sh
shuaireado#ir,sh
shwatch,sh
frbeithili#n_ma#inse#ar,fr
frcot,fr
frcathaoir,fr
frchair,fr
frcathaoirard,fr
frhighchair,fr
frcistin,fr
frkitchen,fr
frcith_fholcadh,fr
frshower,fr
frco#fra_preas,fr
frcupboard_press,fr
frcuisneoir,fr
frfridge,fr
frdoirteal_ba#isi#n,fr
frsink,fr
frdoras,fr
frdoor,fr
frfolcada#n_dabhach,fr
frbath,fr
frfuinneog,fr
frwindow,fr
frgara#ise,fr
frgarage,fr
frleaba_leabaigh,fr
frbed,fr
frleithreas,fr
frtoilet,fr
frmeaisi#nni#o#cha#i#n,fr
frwashingmachine,fr
froigheann,fr
froven,fr
frpotabeag,fr
frpotty,fr
frseomra,fr
frroom,fr
frseomrafolctha,fr
frbathroom,fr
frseomraleapa,fr
frbedroom,fr
frseomrasui#,fr
frsittingroom,fr
frseomrasu#gartha,fr
frplayroom,fr
frsorn,fr
frcooker,fr
frstaighre,fr
frstairs,fr
frsto#l,fr
frstool,fr
frtarraice#an,fr
frdrawer,fr
frteilifi#s,fr
frtelevision,fr
frtine,fr
frfire,fr
frtolg_cu#its,fr
frcouch_sofa,fr
frurla#r,fr
frfloor,fr
oba#isteach,o
orain,o
obata_maide,o
ostick,o
obla#th,o
oflower,o
obotha#n_sciobo#il,o
oshed,o
obo#thar,o
oroad,o
obrat@ach@,o
oflag,o
obuice#ad,o
obucket,o
ocarraig,o
orock,o
oceo,o
ofog,o
oclai#_sconsa,o
ofence,o
ocloch,o
ostone,o
ocosa#n_pa#ile,o
ofoothpath,o
ocrann,o
otree,o
odi#on,o
oroof,o
odre#imire,o
oladder,o
ofalla_balla,o
owall,o
ofarraige,o
osea,o
ofe#ar,o
ograss,o
ofearsneachta,o
osnowman,o
ogaineamh,o
osand,o
ogairdi#n,o
ogarden,o
ogaoth,o
owind,o
ogealach_re#,o
omoon,o
ogeata,o
ogate,o
ogrian,o
osun,o
olai#_sluasaid,o
oshovel,o
olinnsna#mha,o
o@swimming@pool,o
oloch_locha#n,o
opond,o
oluasca#n,o
oswings,o
ore#alta,o
ostars,o
oscamall,o
ocloud,o
osceach,o
obush,o
osimle#ar,o
ochimney,o
osleamhna#n,o
oslide,o
osneachta,o
osnow,o
ospe#ir,o
osky,o
osra#id,o
ostreet,o
ouisce,o
owater,o
abhaile_baile,ptg
home,ptg
aifreann,ptg
mass,ptg
amuigh,ptg
outside,ptg
campa#il,ptg
camping,ptg
cathair_bailemo#r,ptg
city_town,ptg
coillte_coill,ptg
forest,ptg
co#isir,ptg
party,ptg
feirm,ptg
farm,ptg
gort_garrai#,ptg
field,ptg
istigh,ptg
inside,ptg
obair,ptg
work,ptg
ospide#al,ptg
hospital,ptg
pa#irc,ptg
park,ptg
nai#onra,ptg
playschool,ptg
nai#olann,ptg
creche,ptg
picnicie,ptg
scoil,ptg
school,ptg
siopa,ptg
shop,ptg
circus_sorcas_ie,ptg
teach_tigh,ptg
house,ptg
tra#_tra#igh,ptg
beach,ptg
zu#,ptg
zoo,ptg
painmfe#inanpha#iste,p
pchildsownname,p
painmfeighli#pa#isti#,p
pbabysittername,p
painmpeata,p
ppetname,p
painti#n,p
paunty,p
pbean,p
pwoman,p
pbuachaill_garsu#n,p
pboy,p
pcaili#n,p
pgirl,p
pcara,p
pfriend,p
pcolceathrar,p
pcousin,p
pdaideo,p
pgrandad,p
pdaidi#_daddy,p
pdaoine,p
ppeople,p
pdeartha#ir,p
pbrother,p
pdeirfiu#r,p
psister,p
pdochtu#ir,p
pdoctor,p
pduine,p
pperson,p
pfear,p
pman,p
pfeardo#itea#in,p
pfireman,p
pfeargrinn,p
pclown,p
pfearanphoist,p
ppostman,p
pfeirmeoir,p
pfarmer,p
pfiaclo#ir,p
pdentist,p
pgarda,p
ppoliceman_guard,p
pgruagaire,p
phairdresser,p
pleanbh_babai#,p
pbaby,p
pmamai#_mammy,p
pmamo#,p
pgranny,p
pmu#inteoir,p
pteacher,p
ppa#iste,p
pchild,p
puncail_uncle,p
grfamhra#n,grf
grfsong,grf
gfranmuici#nseo@no_rann_eile@,grf
grfthislittlepiggy,grf
grfbarro#g,grf
grfhug,grf
grbe#arfaidhme#ort,grf
grfgonnagetyou,grf
grfbricfeasta,grf
grfbreakfast,grf
grfcastimpeall,grf
grfturnaround,grf
grfchi#mthu#,grf
grfiseeyou,grf
grfchomhmo#r_mo#rmillteach,grf
grfsobig,grf
grfdiadhuit,grf
grfhello,grf
grfdinne#ar,grf
grfdinner,grf
grffolcadh,grf
grfbath,grf
grfglaoch@gutha#in@,grf
grfphonecall@call@,grf
grf@goraibh@maithagat,grf
grfthankyou_thanks,grf
grfgra#in,grf
grfcuddle,grf
grfgabhanseo_goitse,grf
grfcmere,grf
grfinaonchor,grf
grfatall,grf
grf@is@maith_tiaghni#onnle,grf
grfilike,grf
grf@is@brea#liom,grf
grfilove,grf
grf@is@liomsae#,grf
grfmine,grf
grfma#se#dothoil_ledothoil,grf
grfplease,grf
grflo#n,grf
grflunch,grf
grpni#maith,grf
grfdontlike,grf
grfnfheadar,grf
grfdunno,grf
grfno_neo#_ie,grf
grfoi#chemaith,grf
grfgoodnight,grf
grfpo#igi#n,grf
grfkiss,grf
grfyea_sea,grf
grfseachain,grf
grflookout,grf
grfshh_shush_ie,grf
grfsiopado#ireacht,grf
grfshopping,grf
grfsla#n,grf
grfbye,grf
gfttabhardom,grf
grfgimme,grf
awabair,aw
awsay,aw
awaithin,aw
awknowp,aw
awardaigh,aw
awlift,aw
awbain,aw
awtake,aw
awbeir@ar@,aw
awcatch,aw
awblais_ta#sta#il,aw
awtaste,aw
awbolaigh,aw
awsmell,aw
awbris,aw
awbreak,aw
awcuimil,aw
awwipe,aw
awcuir,aw
awput,aw
