"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
1,"au","word","sounds",0.57,0.71,0.8,0.86,0.89,0.93,0.94,0.94,0.96,0.97,0.97,0.98,0.98,0.98,0.99,0.98,1,0.99,0.99,0.97,0.97
2,"bææ","word","sounds",0.67,0.75,0.81,0.85,0.9,0.91,0.94,0.95,0.95,0.96,0.96,0.97,0.98,0.97,0.98,0.98,0.99,0.98,0.99,0.97,0.96
3,"brrr (bil-lyd)","word","sounds",0.76,0.8,0.78,0.84,0.85,0.85,0.86,0.86,0.87,0.89,0.9,0.89,0.88,0.85,0.9,0.88,0.9,0.89,0.92,0.87,0.86
4,"gakk gakk","word","sounds",0.44,0.54,0.61,0.71,0.79,0.81,0.84,0.84,0.86,0.9,0.89,0.89,0.9,0.91,0.93,0.91,0.95,0.92,0.93,0.92,0.9
5,"grr","word","sounds",0.33,0.31,0.36,0.36,0.45,0.48,0.56,0.5,0.59,0.6,0.67,0.67,0.69,0.7,0.71,0.72,0.78,0.72,0.8,0.78,0.71
6,"kykeliky","word","sounds",0.09,0.14,0.22,0.33,0.41,0.41,0.51,0.56,0.62,0.65,0.73,0.74,0.77,0.78,0.77,0.82,0.88,0.85,0.87,0.87,0.82
7,"mjau","word","sounds",0.44,0.54,0.6,0.68,0.78,0.76,0.83,0.87,0.88,0.91,0.92,0.93,0.94,0.95,0.97,0.96,0.97,0.97,0.98,0.97,0.95
8,"møø","word","sounds",0.53,0.65,0.75,0.8,0.89,0.86,0.9,0.92,0.92,0.96,0.96,0.97,0.96,0.97,0.97,0.97,0.99,0.98,0.98,0.98,0.95
9,"nam - nam","word","sounds",0.72,0.8,0.83,0.86,0.89,0.88,0.92,0.92,0.93,0.94,0.94,0.93,0.93,0.95,0.96,0.94,0.98,0.96,0.96,0.94,0.93
10,"oi (uttrykk for overraskelse)","word","sounds",0.7,0.8,0.86,0.86,0.89,0.92,0.91,0.93,0.95,0.96,0.96,0.95,0.97,0.95,0.97,0.96,0.97,0.97,0.96,0.96,0.94
11,"tøff-tøff","word","sounds",0.09,0.15,0.19,0.29,0.38,0.42,0.49,0.53,0.61,0.67,0.7,0.71,0.78,0.77,0.78,0.79,0.83,0.84,0.83,0.85,0.81
12,"voff voff","word","sounds",0.67,0.75,0.83,0.88,0.92,0.94,0.94,0.96,0.96,0.97,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.97,0.96
13,"(meite)mark","word","animals",0.01,0.02,0.03,0.03,0.11,0.11,0.17,0.22,0.3,0.38,0.44,0.49,0.53,0.55,0.61,0.68,0.71,0.71,0.77,0.79,0.8
14,"and","word","animals",0.07,0.15,0.16,0.24,0.34,0.33,0.43,0.48,0.55,0.59,0.66,0.67,0.71,0.74,0.75,0.76,0.8,0.8,0.8,0.85,0.8
15,"apekatt","word","animals",0.07,0.14,0.16,0.28,0.37,0.42,0.52,0.64,0.68,0.75,0.8,0.83,0.86,0.89,0.92,0.91,0.94,0.94,0.96,0.96,0.95
