word,count
you,493149
the,362809
a,275703
it,245584
that,175461
and,174651
what,174102
to,163801
is,159641
I,152539
oh,143318
do,135056
no,114782
in,114281
on,107588
this,102142
we,96609
are,95678
there,89502
your,84812
can,77418
one,75094
he,73254
go,69685
like,66984
have,66126
yeah,64156
here,63777
look,61692
see,61049
put,58124
of,58004
right,53462
with,53178
not,51830
me,49440
for,49391
going,49058
now,48322
did,47946
think,47436
got,45059
she,44967
at,44433
they,44347
yes,43497
up,43116
get,42796
know,42647
all,40512
well,39487
so,39188
want,38327
some,38277
be,37887
was,36874
come,36085
good,35519
just,35150
then,34482
them,34272
where,33788
little,31058
out,28397
her,28298
but,27835
does,26269
say,26021
down,25483
because,25232
how,24631
if,23811
very,23641
baby,22549
my,22517
doing,22153
about,21640
big,21506
back,21469
his,21373
when,21000
him,20298
play,19904
more,19825
why,18803
or,18183
over,18143
these,17732
who,17633
too,17464
two,17452
make,17060
off,16871
nice,16837
those,16429
eat,16424
take,16357
would,16120
Thomas,15339
shall,15207
un,14841
y,14573
huh,14369
book,13974
were,13948
ah,13910
else,13465
again,13038
tell,13015
will,13004
other,12243
car,12113
another,12042
boy,11975
let,11846
give,11845
sit,11771
really,11766
an,11736
had,11603
something,11591
bit,11554
time,11481
goes,10683
please,10541
de,10383
house,10315
way,10295
la,10246
as,10168
any,10058
girl,10013
es,9978
from,9898
alright,9877
yo,9543
away,9483
should,9348
find,9254
ne,9215
could,9203
said,9193
done,9165
ti,9098
remember,9033
need,8668
which,8619
today,8548
darling,8548
turn,8432
read,8243
home,8232
el,8204
three,8157
da,8131
red,8101
gone,7985
ya,7974
hey,7893
better,7876
box,7766
maybe,7715
went,7676
color,7586
blue,7482
help,7472
water,7323
ni,7310
show,7208
yn,7208
try,7205
open,7193
hello,7177
i,7141
ie,7066
train,6983
thank,6864
bed,6823
been,6797
green,6617
wa,6539
wow,6513
first,6483
dear,6477
hi,6442
ball,6420
man,6387
into,6380
sure,6348
many,6270
watch,6265
round,6243
coming,6192
head,6152
o,6070
se,5986
name,5933
might,5884
n,5851
thing,5815
still,5785
juice,5772
much,5763
door,5756
hair,5689
food,5669
chair,5642
mae,5621
yellow,5602
drink,5537
hold,5528
around,5528
picture,5483
mouth,5405
funny,5399
pretty,5356
careful,5350
day,5346
cat,5331
mommy,5310
kind,5299
dog,5276
wait,5255
hat,5249
looking,5223
kore,5222
Eleanor,5209
getting,5201
hand,5196
next,5194
ready,5151
lot,5149
us,5105
nose,5086
te,5078
only,5031
people,4967
lo,4959
top,4944
anything,4933
four,4932
through,4891
sleep,4843
table,4820
work,4807
mean,4771
by,4753
minute,4732
thought,4715
last,4709
floor,4693
push,4666
before,4658
milk,4639
our,4610
school,4604
e,4594
story,4593
eating,4492
en,4463
na,4463
use,4439
draw,4433
outside,4407
ga,4399
orange,4387
silly,4371
tea,4359
throw,4355
bear,4354
keep,4351
piece,4337
long,4304
am,4297
hear,4279
morning,4277
saying,4268
new,4225
truck,4220
together,4215
bring,4193
cup,4188
made,4178
making,4173
sorry,4154
pardon,4117
fall,4112
fish,4084
pull,4067
inside,4064
after,4054
hot,4044
stop,4030
comes,4019
hurt,4011
room,4001
love,3980
five,3978
horse,3976
leave,3973
their,3968
yet,3956
though,3944
birthday,3890
talk,3853
fit,3827
noise,3823
bag,3818
night,3798
daddy,3759
cheese,3732
cow,3726
lovely,3697
pick,3677
came,3650
bye,3647
tu,3605
hard,3537
apple,3523
face,3521
under,3490
spoon,3415
stay,3410
different,3409
enough,3406
move,3403
mi,3371
stuff,3345
bus,3341
fire,3319
honey,3316
paper,3307
S,3277
must,3272
actually,3272
wee,3263
cold,3233
finished,3232
seen,3227
later,3223
quite,3213
tree,3209
saw,3195
sing,3186
found,3184
ha,3176
same,3164
probably,3151
foot,3145
sitting,3128
cake,3124
stand,3124
beth,3088
whoops,3082
while,3067
ask,3067
number,3067
never,3046
trying,3024
fell,3017
hungry,3016
cut,3011
white,3005
die,3004
duck,2972
talking,2971
old,2968
happy,2961
close,2961
tired,2955
clean,2949
than,2941
buy,2940
L,2918
clever,2886
stuck,2878
wash,2875
page,2860
matter,2850
pretend,2845
being,2842
job,2841
kiss,2841
call,2840
feel,2831
yours,2800
bottle,2798
chicken,2784
yourself,2779
side,2754
kitty,2744
touch,2738
fun,2727
das,2692
fi,2685
even,2666
great,2665
six,2660
broken,2655
yesterday,2655
ar,2653
walk,2645
toy,2627
ride,2621
bien,2621
money,2620
left,2607
behind,2605
bite,2602
moo,2593
pizza,2578
everything,2572
wrong,2571
elephant,2571
pink,2557
breakfast,2556
lunch,2536
build,2511
pig,2509
naughty,2493
start,2490
hay,2467
bath,2460
small,2457
bread,2455
break,2454
peekaboo,2449
real,2444
listen,2438
dirty,2437
si,2428
always,2416
con,2409
poor,2406
sheep,2405
clothes,2401
plate,2398
bunny,2372
bad,2346
John,2343
lady,2340
dinner,2339
window,2329
ka,2327
rabbit,2304
finish,2300
fix,2300
party,2295
di,2295
guess,2290
light,2289
bird,2288
teeth,2281
monkey,2279
already,2277
egg,2269
cream,2266
black,2266
end,2260
bang,2248
favorite,2245
tape,2242
chocolate,2218
boat,2203
kitchen,2191
nothing,2180
mess,2174
stick,2172
wear,2165
write,2154
jump,2153
somebody,2138
ist,2108
beautiful,2094
shop,2081
mo,2080
wet,2070
Christmas,2062
ce,2059
took,2048
yummy,2041
sleeping,2038
